endTime,artistName,trackName,msPlayed
2022-12-11 17:00,Phoebe Bridgers,Motion Sickness,229760
2022-12-11 17:02,Lostboycrow,Strawberry Sunscreen,129000
2022-12-11 17:03,Keala Settle,This Is Me,18924
2022-12-11 17:05,The Osborne Brothers,Rocky Top,130348
2022-12-11 17:08,Briston Maroney,Freakin' Out On the Interstate,180860
2022-12-12 08:26,Briston Maroney,Freakin' Out On the Interstate,71047
2022-12-12 08:30,Taylor Swift,New Romantics,230466
2022-12-12 08:32,All Time Low,"Oh, Calamity!",23
2022-12-12 08:32,Airways,One Foot,1238
2022-12-12 08:32,Neck Deep,A Part Of Me (feat. Laura Whiteside),586
2022-12-12 08:32,Aaron West and The Roaring Twenties,St. Joe Keeps Us Safe,23
2022-12-12 08:32,Fall Out Boy,America's Suitehearts,1130
2022-12-12 08:32,Kesha,Spaceship,1629
2022-12-12 08:32,Steph Barrak,Painted Face,1615
2022-12-12 08:32,Billy Joel,Movin' Out (Anthony's Song),13107
2022-12-12 08:32,Stand Atlantic,Coffee at Midnight,1304
2022-12-12 08:32,ROAM,The Fire On The Ceiling,23
2022-12-12 08:32,The Eskies,Jailhouse Sun (Bonus Track),1186
2022-12-12 08:35,mxmtoon,prom dress,197933
2022-12-12 08:36,All Time Low,The Reckless and the Brave (Acoustic),24130
2022-12-12 08:36,The Eskies,Fever,826
2022-12-12 08:36,Basement,Earl Grey,1120
2022-12-12 08:39,The Front Bottoms,Awkward Conversations,165800
2022-12-12 08:42,All Time Low,Weightless,198000
2022-12-12 08:45,Steph Barrak,Natural Progression,163262
2022-12-12 09:17,Steph Barrak,Natural Progression,437
2022-12-12 09:20,Tigers Jaw,Hum,23
2022-12-12 09:20,New Found Glory,Resurrection,4331
2022-12-12 09:20,BLOXX,Thinking About Yourself,189639
2022-12-12 09:24,The Front Bottoms,Motorcycle,206026
